TeamID,TeamName,FirstD1Season,LastD1Season,most_recent,number_of_tourneys,percent_of_tourneys_made,best_seed,worst_seed,average_seed,best_finish,best_season,worst_finish,worst_season,average_finish
1379,Southern Miss,1985,2019,2012,1,6.25,9,13,11.0,R64,2012,R64,2012,R64
1380,Southern Univ,1985,2019,2016,3,18.75,13,16,15.25,R64,2006,R64,2006,R64
1381,Southern Utah,1989,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1382,St Bonaventure,1985,2019,2018,2,12.5,11,14,12.333333333333334,R32,2018,R64,2012,R64
1383,St Francis NY,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1384,St Francis PA,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1385,St John's,1985,2019,2015,2,12.5,1,11,5.5,R64,2011,R64,2011,R64
1386,St Joseph's PA,1985,2019,2016,5,31.25,1,11,7.0,Elite 8,2004,R64,2003,R64
1387,St Louis,1985,2019,2014,3,18.75,4,10,7.571428571428571,R32,2012,R32,2012,R32
1388,St Mary's CA,1985,2019,2017,6,37.5,7,14,9.625,Sweet 16,2010,R64,2005,R64
1389,St Peter's,1985,2019,2011,1,6.25,12,15,13.666666666666666,R64,2011,R64,2011,R64
1390,Stanford,1985,2019,2014,6,37.5,1,12,5.75,Sweet 16,2008,R64,2005,R32
1391,Stetson,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1392,Stony Brook,2000,2019,2016,1,6.25,13,13,13.0,R64,2016,R64,2016,R64
1393,Syracuse,1985,2019,2018,12,75.0,1,11,4.296296296296297,Championship,2003,R64,2005,Sweet 16
1394,TAM C. Christi,2003,2019,2007,1,6.25,15,15,15.0,R64,2007,R64,2007,R64
1395,TCU,1985,2019,2018,1,6.25,4,6,5.0,R64,2018,R64,2018,R64
1396,Temple,1985,2019,2016,7,43.75,1,12,7.565217391304348,R32,2011,R64,2008,R64
1397,Tennessee,1985,2019,2018,8,50.0,2,11,6.230769230769231,Elite 8,2010,R64,2009,R32
1398,Tennessee St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1399,Tennessee Tech,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1400,Texas,1985,2019,2018,14,87.5,1,11,6.884615384615385,Final Four,2003,R64,2005,R32
1401,Texas A&M,1985,2019,2018,8,50.0,3,12,7.444444444444445,Sweet 16,2007,R64,2011,R32
1402,Texas St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1403,Texas Tech,1985,2019,2018,5,31.25,3,13,7.5,Elite 8,2018,R64,2007,R32
1404,TN Martin,1993,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1405,Toledo,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1406,Towson,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1407,Troy,1994,2019,2017,2,12.5,14,15,14.5,R64,2003,R64,2003,R64
1408,Tulane,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1409,Tulsa,1985,2019,2016,3,18.75,5,13,9.692307692307692,R32,2003,R64,2014,R64
1410,UTRGV,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1411,TX Southern,1985,2019,2018,5,31.25,14,16,15.375,R32,2018,R64,2003,R64
1412,UAB,1985,2019,2015,5,31.25,6,14,9.818181818181818,Sweet 16,2004,R64,2006,R64
1413,UC Davis,2005,2019,2017,1,6.25,16,16,16.0,R32,2017,R32,2017,R32
1414,UC Irvine,1985,2019,2015,1,6.25,13,13,13.0,R64,2015,R64,2015,R64
1415,UC Riverside,2002,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1416,UCF,1985,2019,2005,2,12.5,14,16,15.25,R64,2004,R64,2004,R64
1417,UCLA,1985,2019,2018,11,68.75,1,11,5.269230769230769,Championship,2006,R64,2005,R32
1418,ULL,1985,2019,2014,3,18.75,11,14,13.0,R64,2004,R64,2004,R64
1419,ULM,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1420,UMBC,1987,2019,2018,2,12.5,15,16,15.5,R32,2018,R64,2008,R64
1421,UNC Asheville,1987,2019,2016,4,25.0,15,16,15.75,R32,2003,R64,2012,R64
1422,UNC Greensboro,1992,2019,2018,1,6.25,13,16,14.666666666666666,R64,2018,R64,2018,R64
1423,UNC Wilmington,1985,2019,2017,4,25.0,9,15,12.166666666666666,R64,2003,R64,2003,R64
1424,UNLV,1985,2019,2013,6,37.5,1,12,5.533333333333333,Sweet 16,2007,R64,2010,R64
1425,USC,1985,2019,2017,6,37.5,2,11,7.666666666666667,Sweet 16,2007,R64,2008,R64
1426,UT Arlington,1985,2019,2008,1,6.25,16,16,16.0,R64,2008,R64,2008,R64
1427,UT San Antonio,1985,2019,2011,2,12.5,14,16,15.5,R32,2011,R64,2004,R64
1428,Utah,1985,2019,2016,6,37.5,2,14,6.25,Sweet 16,2005,R64,2004,R32
1429,Utah St,1985,2019,2011,6,37.5,10,15,12.3,R64,2003,R64,2003,R64
1430,Utah Valley,2005,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1431,UTEP,1985,2019,2010,3,18.75,7,13,10.0,R64,2004,R64,2004,R64
1432,Utica,1985,1987,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1433,VA Commonwealth,1985,2019,2017,10,62.5,2,13,9.083333333333334,Championship,2011,R64,2004,R64
1434,Valparaiso,1985,2019,2015,3,18.75,12,16,13.88888888888889,R64,2004,R64,2004,R64
1435,Vanderbilt,1985,2019,2017,8,50.0,3,11,6.6923076923076925,Sweet 16,2004,R64,2008,R64
1436,Vermont,1985,2019,2017,6,37.5,13,16,14.833333333333334,R32,2005,R64,2003,R64
1437,Villanova,1985,2019,2018,13,81.25,1,12,5.454545454545454,Championship,2016,R64,2007,R32
1438,Virginia,1985,2019,2018,7,43.75,1,10,4.9411764705882355,Elite 8,2016,R64,2012,R32
1439,Virginia Tech,1985,2019,2018,3,18.75,5,9,7.833333333333333,R32,2007,R64,2017,R64
1440,VMI,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1441,W Carolina,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1442,W Illinois,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1443,WKU,1985,2019,2013,5,31.25,7,16,11.333333333333334,Sweet 16,2008,R64,2003,R64
1444,W Michigan,1985,2019,2014,2,12.5,11,14,12.0,R64,2004,R64,2004,R64
1445,W Salem St,2007,2010,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1446,W Texas A&M,1985,1986,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1447,Wagner,1985,2019,2003,1,6.25,15,15,15.0,R64,2003,R64,2003,R64
1448,Wake Forest,1985,2019,2017,6,37.5,1,11,5.066666666666666,Sweet 16,2004,R64,2009,R64
1449,Washington,1985,2019,2011,6,37.5,1,12,7.1,Sweet 16,2005,R64,2004,R32
1450,Washington St,1985,2019,2008,2,12.5,3,8,5.0,Sweet 16,2008,R32,2007,R32
1451,Weber St,1985,2019,2016,4,25.0,12,16,14.333333333333334,R64,2003,R64,2003,R64
1452,West Virginia,1985,2019,2018,11,68.75,2,12,6.5625,Final Four,2010,R64,2009,R32
1453,WI Green Bay,1985,2019,2016,1,6.25,8,14,12.0,R64,2016,R64,2016,R64
1454,WI Milwaukee,1991,2019,2014,4,25.0,11,15,12.5,Sweet 16,2005,R64,2003,R64
1455,Wichita St,1985,2019,2018,8,50.0,1,12,8.0,Final Four,2013,R64,2012,R32
1456,William & Mary,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1457,Winthrop,1987,2019,2017,6,37.5,11,16,14.4,R32,2007,R64,2005,R64
1458,Wisconsin,1985,2019,2017,15,93.75,1,12,5.761904761904762,Championship,2015,R64,2006,R32
1459,Wofford,1996,2019,2015,4,25.0,12,15,13.5,R64,2010,R64,2010,R64
1460,Wright St,1988,2019,2018,2,12.5,14,16,14.666666666666666,R64,2007,R64,2007,R64
1461,Wyoming,1985,2019,2015,1,6.25,7,12,10.5,R64,2015,R64,2015,R64
1462,Xavier,1985,2019,2018,14,87.5,1,14,8.26923076923077,Elite 8,2004,R64,2006,R32
1463,Yale,1985,2019,2016,1,6.25,12,12,12.0,R32,2016,R32,2016,R32
1464,Youngstown St,1985,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1465,Cal Baptist,2019,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
1466,North Alabama,2019,2019,Never made it,0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
